13:26:08 INFO  Thread-2 24423 Actor:185 - Courier received message GameStart
13:26:08 INFO  Thread-2 24423 Actor:185 - Courier invoking listener for GameStart
13:26:08 INFO  Thread-2 24424 Courier:246 - receive starting shoe size = 3
13:26:08 INFO  Thread-2 24424 Courier:249 - starting hand: JennaLaptop:YOU:2073CFC085BBF9BD
13:26:08 INFO  Thread-2 24424 Courier:249 - starting hand: JennaLaptop:DEALER:559470A6660EC9ED
13:26:08 INFO  Thread-2 24424 Actor:185 - Courier waiting for connection on port 8001
13:26:09 INFO  Thread-2 25429 Actor:185 - Courier accepted connection on port 8001
13:26:09 INFO  Thread-2 25433 Actor:185 - Courier received message Deal
13:26:09 INFO  Thread-2 25433 Actor:185 - Courier invoking listener for Deal
13:26:09 INFO  Thread-2 25433 Courier:268 - received card = CK values = 10/10 hid = JennaLaptop:YOU:2073CFC085BBF9BD
13:26:09 INFO  Thread-2 25438 Actor:185 - Courier waiting for connection on port 8001
13:26:09 INFO  Thread-2 26186 Actor:185 - Courier accepted connection on port 8001
13:26:09 INFO  Thread-2 26189 Actor:185 - Courier received message Deal
13:26:09 INFO  Thread-2 26189 Actor:185 - Courier invoking listener for Deal
13:26:09 INFO  Thread-2 26189 Courier:268 - received card = D9 values = 0/0 hid = JennaLaptop:DEALER:559470A6660EC9ED
13:26:09 INFO  Thread-2 26193 Actor:185 - Courier waiting for connection on port 8001
13:26:10 INFO  Thread-2 26942 Actor:185 - Courier accepted connection on port 8001
13:26:10 INFO  Thread-2 26945 Actor:185 - Courier received message Deal
13:26:10 INFO  Thread-2 26945 Actor:185 - Courier invoking listener for Deal
13:26:10 INFO  Thread-2 26945 Courier:268 - received card = CJ values = 20/20 hid = JennaLaptop:YOU:2073CFC085BBF9BD
13:26:10 INFO  Thread-2 26948 Actor:185 - Courier waiting for connection on port 8001
